Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type,class
IPv4,116,UDP,192.168.1.5,192.168.1.254,45437,53,DNS,0,0x84b7,0,0,normal
IPv4,193,UDP,192.168.1.254,192.168.1.5,53,45437,DNS,0,0x2cfb,0,0,normal
IPv4,82,UDP,192.168.1.5,192.168.1.254,46836,53,DNS,0,0x8495,0,0,normal
IPv4,152,UDP,192.168.1.254,192.168.1.5,53,46836,DNS,0,0x3089,0,0,normal
IPv6,1294,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2001:bb0:100:1a::f,52069,443,UDP,0,0xe706,0,0,normal
IPv6,1294,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2001:bb0:100:1a::f,52069,443,UDP,0,0xe706,0,0,normal
IPv6,633,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2001:bb0:100:1a::f,52069,443,UDP,0,0xe471,0,0,normal
IPv6,94,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x263f,0,0,normal
IPv6,184,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xa69c,0,0,normal
IPv6,100,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2001:bb0:100:1a::f,52069,443,UDP,0,0xe25c,0,0,normal
IPv6,1290,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xdf0b,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x2f3f,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x0d34,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xd443,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xb3fa,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xe4f5,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x0f34,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x93e4,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x7bbf,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xa1aa,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xf85a,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x3cb5,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x9933,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xe94d,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x424e,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xd969,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x3e08,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x6058,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x40ad,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x2259,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x2070,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0x84b5,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xf90f,0,0,normal
IPv6,1294,UDP,2001:bb0:100:1a::f,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52069,UDP,0,0xde06,0,0,normal
