Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type,class
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x496f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x516f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x486f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x506f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x476f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x4f6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x466f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x4e6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x456f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x4d6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x446f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x4c6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x436f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x4b6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x426f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x4a6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x416f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x496f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x406f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x486f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x3f6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x476f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x3e6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x466f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x3d6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x456f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x3c6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x446f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x3b6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x436f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x3a6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x426f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x396f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x416f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x386f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x406f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x376f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x3f6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x366f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x3e6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x356f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x3d6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x346f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x3c6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x336f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x3b6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x326f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x3a6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x316f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x396f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x306f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x386f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x2f6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x376f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x2e6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x366f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x2d6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x356f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x2c6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x346f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x2b6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x336f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x2a6f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x326f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x296f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x316f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x286f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x306f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x276f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x2f6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x266f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x2e6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x256f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x2d6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x246f,0,8,anomaly
IPv4,42,ICMP,192.168.1.5,192.168.1.4,0,0,ICMP,0,0x2c6f,0,0,anomaly
IPv4,60,ICMP,192.168.1.4,192.168.1.5,0,0,ICMP,0,0x236f,0,8,anomaly
