Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type,class
IPv4,60,TCP,192.168.1.4,192.168.1.5,1995,39,TCP,0x0002,0x8ba3,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,39,1995,TCP,0x0014,0x1f17,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,1996,40,TCP,0x0002,0xb776,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,40,1996,TCP,0x0014,0x21d0,0,0,anomaly
IPv4,74,TCP,192.168.1.5,20.42.65.88,49374,443,TCP,0x0002,0x175e,64240,0,anomaly
IPv4,74,TCP,20.42.65.88,192.168.1.5,443,49374,TCP,0x0012,0x05a2,65535,0,anomaly
IPv4,66,TCP,192.168.1.5,20.42.65.88,49374,443,TCP,0x0010,0x1756,64256,0,anomaly
IPv4,583,TCP,192.168.1.5,20.42.65.88,49374,443,TLS,0x0018,0x195b,64256,0,anomaly
IPv4,165,TCP,20.42.65.88,192.168.1.5,443,49374,TLS,0x0018,0x0e83,4194304,0,anomaly
IPv4,66,TCP,192.168.1.5,20.42.65.88,49374,443,TCP,0x0010,0x1756,64256,0,anomaly
IPv4,503,TCP,192.168.1.5,20.42.65.88,49374,443,TLS,0x0018,0x190b,64256,0,anomaly
IPv4,3150,TCP,20.42.65.88,192.168.1.5,443,49374,TLS,0x0018,0x2362,4193792,0,anomaly
IPv4,1514,TCP,20.42.65.88,192.168.1.5,443,49374,TCP,0x0010,0xa7bf,4193792,0,anomaly
IPv4,78,TCP,192.168.1.5,20.42.65.88,49374,443,TCP,0x0010,0x1762,64256,0,anomaly
IPv4,66,TCP,192.168.1.5,20.42.65.88,49374,443,TCP,0x0010,0x1756,67072,0,anomaly
IPv4,1972,TCP,192.168.1.5,20.42.65.88,49374,443,TLS,0x0018,0x1ec8,67072,0,anomaly
IPv4,530,TCP,20.42.65.88,192.168.1.5,443,49374,TLS,0x0019,0x0c76,4194304,0,anomaly
IPv4,169,TCP,20.42.65.88,192.168.1.5,443,49374,TCP,0x0018,0xb646,4194816,0,anomaly
IPv4,78,TCP,192.168.1.5,20.42.65.88,49374,443,TCP,0x0010,0x1762,69888,0,anomaly
IPv4,66,TCP,192.168.1.5,20.42.65.88,49374,443,TCP,0x0010,0x1756,69888,0,anomaly
IPv4,90,TCP,192.168.1.5,20.42.65.88,49374,443,TLS,0x0018,0x176e,69888,0,anomaly
IPv4,66,TCP,192.168.1.5,20.42.65.88,49374,443,TCP,0x0011,0x1756,69888,0,anomaly
IPv4,66,TCP,20.42.65.88,192.168.1.5,443,49374,TCP,0x0010,0xd23e,4194304,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,1997,41,TCP,0x0002,0x688d,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,41,1997,TCP,0x0014,0xbe3b,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,1998,42,TCP,0x0002,0x926d,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,42,1998,TCP,0x0014,0x199c,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,1999,43,TCP,0x0002,0x24a5,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,43,1999,TCP,0x0014,0x1066,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2000,44,TCP,0x0002,0x5706,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,44,2000,TCP,0x0014,0xb4bc,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2001,45,TCP,0x0002,0x1dec,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,45,2001,TCP,0x0014,0x254b,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2002,46,TCP,0x0002,0x1f7d,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,46,2002,TCP,0x0014,0x4f1f,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2003,47,TCP,0x0002,0xff52,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,47,2003,TCP,0x0014,0xd810,0,0,anomaly
