Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type,class
IPv4,4598,TCP,20.189.173.1,192.168.1.5,443,35092,TLS,0x0018,0x9546,16382,0,anomaly
IPv4,66,TCP,192.168.1.5,20.189.173.1,35092,443,TCP,0x0010,0x8392,549,0,anomaly
IPv4,1973,TCP,192.168.1.5,20.189.173.1,35092,443,TLS,0x0018,0x8b05,549,0,anomaly
IPv4,169,TCP,20.189.173.1,192.168.1.5,443,35092,TLS,0x0018,0xfecf,16386,0,anomaly
IPv4,530,TCP,20.189.173.1,192.168.1.5,443,35092,TLS,0x0019,0x19c1,16384,0,anomaly
IPv4,66,TCP,192.168.1.5,20.189.173.1,35092,443,TCP,0x0010,0x8392,572,0,anomaly
IPv4,90,TCP,192.168.1.5,20.189.173.1,35092,443,TLS,0x0018,0x83aa,572,0,anomaly
IPv4,66,TCP,192.168.1.5,20.189.173.1,35092,443,TCP,0x0011,0x8392,572,0,anomaly
IPv4,66,TCP,20.189.173.1,192.168.1.5,443,35092,TCP,0x0010,0x46f4,16384,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,60700,80,TCP,0x0002,0x8e74,32120,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,54618,443,TCP,0x0002,0x9e3e,32120,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,80,60700,TCP,0x0014,0xf2fe,0,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,443,54618,TCP,0x0014,0x02ca,0,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,44548,587,TCP,0x0002,0xec33,32120,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,42914,445,TCP,0x0002,0x3543,32120,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,34486,8888,TCP,0x0002,0x01a0,32120,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,39608,554,TCP,0x0002,0xe193,32120,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,49928,3306,TCP,0x0002,0xa02d,32120,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,55292,993,TCP,0x0002,0xc850,32120,0,anomaly
