Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv4,89,UDP,192.168.1.5,192.168.1.254,41261,53,DNS,0,0x849c,0,0
IPv4,160,UDP,192.168.1.254,192.168.1.5,53,41261,DNS,0,0x1d70,0,0
IPv4,88,UDP,192.168.1.5,192.168.1.254,42011,53,DNS,0,0x849b,0,0
IPv4,162,UDP,192.168.1.254,192.168.1.5,53,42011,DNS,0,0xb9ff,0,0
IPv4,85,UDP,192.168.1.254,224.0.0.252,5355,5355,UDP,0,0xb552,0,0
IPv4,84,UDP,192.168.1.254,224.0.0.252,5355,5355,UDP,0,0xa690,0,0
IPv4,117,UDP,192.168.1.5,192.168.1.254,49816,53,DNS,0,0x84b8,0,0
IPv4,117,UDP,192.168.1.5,192.168.1.254,45139,53,DNS,0,0x84b8,0,0
IPv4,133,UDP,192.168.1.254,192.168.1.5,53,49816,DNS,0,0x19ab,0,0
IPv4,245,UDP,192.168.1.254,192.168.1.5,53,45139,DNS,0,0xd758,0,0
IPv4,117,UDP,192.168.1.5,192.168.1.254,52274,53,DNS,0,0x84b8,0,0
IPv4,245,UDP,192.168.1.254,192.168.1.5,53,52274,DNS,0,0xa296,0,0
IPv4,89,UDP,192.168.1.5,192.168.1.254,45441,53,DNS,0,0x849c,0,0
IPv4,89,UDP,192.168.1.254,192.168.1.5,53,45441,DNS,0,0x3f92,0,0
IPv4,84,UDP,192.168.1.254,224.0.0.252,5355,5355,UDP,0,0xa68d,0,0
IPv4,85,UDP,192.168.1.6,224.0.0.251,5353,5353,MDNS,0,0x898e,0,0
IPv6,105,UDP,fe80::95ca:d278:281a:9d45,ff02::fb,5353,5353,MDNS,0,0x0017,0,0
IPv4,85,UDP,192.168.1.6,224.0.0.251,5353,5353,MDNS,0,0x8a0e,0,0
IPv6,105,UDP,fe80::95ca:d278:281a:9d45,ff02::fb,5353,5353,MDNS,0,0x0097,0,0
IPv4,622,UDP,192.168.1.6,224.0.0.251,5353,5353,MDNS,0,0xeee3,0,0
IPv6,642,UDP,fe80::95ca:d278:281a:9d45,ff02::fb,5353,5353,MDNS,0,0x656c,0,0
IPv4,83,UDP,192.168.1.6,224.0.0.251,5353,5353,MDNS,0,0x6f74,0,0
IPv6,103,UDP,fe80::95ca:d278:281a:9d45,ff02::fb,5353,5353,MDNS,0,0xe5fc,0,0
IPv4,83,UDP,192.168.1.6,224.0.0.251,5353,5353,MDNS,0,0x6f74,0,0
IPv6,103,UDP,fe80::95ca:d278:281a:9d45,ff02::fb,5353,5353,MDNS,0,0xe5fc,0,0
IPv4,83,UDP,192.168.1.6,224.0.0.251,5353,5353,MDNS,0,0x6f74,0,0
IPv6,103,UDP,fe80::95ca:d278:281a:9d45,ff02::fb,5353,5353,MDNS,0,0xe5fc,0,0
IPv4,733,UDP,192.168.1.6,224.0.0.251,5353,5353,MDNS,0,0xbf90,0,0
IPv6,753,UDP,fe80::95ca:d278:281a:9d45,ff02::fb,5353,5353,MDNS,0,0x3619,0,0
IPv4,679,UDP,192.168.1.6,224.0.0.251,5353,5353,MDNS,0,0x90f3,0,0
IPv6,699,UDP,fe80::95ca:d278:281a:9d45,ff02::fb,5353,5353,MDNS,0,0x077c,0,0
IPv4,107,UDP,192.168.1.5,192.168.1.254,54089,53,DNS,0,0x84ae,0,0
IPv4,203,UDP,192.168.1.254,192.168.1.5,53,54089,DNS,0,0x0e08,0,0
