Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv6,112,UDP,fe80::95ca:d278:281a:9d45,fe80::a7b:12ff:fec1:d237,57322,53,DNS,0,0xc326,0,0
IPv6,231,UDP,fe80::a7b:12ff:fec1:d237,fe80::95ca:d278:281a:9d45,53,57322,DNS,0,0x4684,0,0
IPv4,66,TCP,192.168.1.6,40.79.173.40,61258,443,TCP,0x0002,0xea60,65535,0
IPv4,66,TCP,40.79.173.40,192.168.1.6,443,61258,TCP,0x0012,0xc7b4,65535,0
IPv4,54,TCP,192.168.1.6,40.79.173.40,61258,443,TCP,0x0010,0x0775,65280,0
IPv4,571,TCP,192.168.1.6,40.79.173.40,61258,443,TLS,0x0018,0x733a,65280,0
IPv4,153,TCP,40.79.173.40,192.168.1.6,443,61258,TLS,0x0018,0x8555,4194048,0
IPv4,491,TCP,192.168.1.6,40.79.173.40,61258,443,TLS,0x0018,0xf559,65280,0
IPv4,54,TCP,40.79.173.40,192.168.1.6,443,61258,TCP,0x0010,0xc459,4193536,0
IPv4,1514,TCP,40.79.173.40,192.168.1.6,443,61258,TLS,0x0010,0x2436,4193536,0
IPv4,1514,TCP,40.79.173.40,192.168.1.6,443,61258,TCP,0x0010,0x9688,4193536,0
IPv4,1514,TCP,40.79.173.40,192.168.1.6,443,61258,TCP,0x0010,0x6543,4193536,0
IPv4,54,TCP,192.168.1.6,40.79.173.40,61258,443,TCP,0x0010,0xf23b,65280,0
IPv4,205,TCP,40.79.173.40,192.168.1.6,443,61258,TLS,0x0018,0x17db,4193536,0
IPv4,54,TCP,192.168.1.6,40.79.173.40,61258,443,TCP,0x0010,0xf1a4,65280,0
IPv4,1494,TCP,192.168.1.6,40.79.173.40,61258,443,TLS,0x0010,0x25bd,65280,0
IPv4,1494,TCP,192.168.1.6,40.79.173.40,61258,443,TCP,0x0010,0xa56c,65280,0
IPv4,1494,TCP,192.168.1.6,40.79.173.40,61258,443,TCP,0x0010,0x0217,65280,0
IPv4,1494,TCP,192.168.1.6,40.79.173.40,61258,443,TCP,0x0010,0x49f1,65280,0
IPv4,1494,TCP,192.168.1.6,40.79.173.40,61258,443,TCP,0x0010,0x75d5,65280,0
IPv4,1494,TCP,192.168.1.6,40.79.173.40,61258,443,TCP,0x0010,0xf014,65280,0
IPv4,979,TCP,192.168.1.6,40.79.173.40,61258,443,TLS,0x0018,0xc5a7,65280,0
