Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type,Class
IPv6,75,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2a02:26f0:9d00:193::1011,59785,443,TLS,0x0010,0x427a,511,0,Anomaly
IPv6,86,TCP,2a02:26f0:9d00:193::1011,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59785,TCP,0x0010,0xc5c8,501,0,Normal
IPv6,75,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2a00:1450:400b:c03::8b,59554,443,TLS,0x0010,0x15aa,2042,0,Anomaly
IPv6,86,TCP,2a00:1450:400b:c03::8b,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59554,TCP,0x0010,0x0557,561,0,Normal
IPv6,75,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2600:1901:0:4c10::,59552,443,TLS,0x0010,0xbef7,510,0,Anomaly
IPv6,75,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2a00:1450:400b:c01::bc,59551,443,TLS,0x0010,0x31cd,251,0,Anomaly
IPv6,86,TCP,2600:1901:0:4c10::,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59552,TCP,0x0010,0xd0fa,1044,0,Normal
IPv6,86,TCP,2a00:1450:400b:c01::bc,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59551,TCP,0x0010,0x8add,1046,0,Normal
IPv6,75,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2001:bb0:100:23::c27d:b2c9,59553,443,TLS,0x0010,0x3eb0,251,0,Anomaly
IPv6,86,TCP,2001:bb0:100:23::c27d:b2c9,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59553,TCP,0x0010,0xd7e8,501,0,Normal
IPv6,1292,UDP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1026:c02:3000::2,61150,443,UDP,0,0xd49b,0,0,Normal
IPv6,1292,UDP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1026:c02:3000::2,61150,443,UDP,0,0xdc7d,0,0,Normal
IPv6,1502,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1026:c02:3000::2,59645,443,TLS,0x0010,0x2fd5,251,0,Normal
IPv6,1502,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1026:c02:3000::2,59645,443,TCP,0x0010,0xeb14,251,0,Normal
IPv6,1130,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1026:c02:3000::2,59645,443,TLS,0x0018,0xc5bf,251,0,Normal
IPv6,113,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2603:1026:c02:3000::2,59645,443,TLS,0x0018,0xc254,251,0,Normal
IPv6,74,TCP,2001:bb0:100:23::c27d:b291,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59767,TCP,0x0011,0xc11a,501,0,Anomaly
IPv6,98,TCP,2001:bb0:100:23::c27d:b291,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59767,TCP,0x0018,0xf2d0,501,0,Normal
IPv6,74,TCP,2001:bb0:100:23::c27d:b291,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,443,59767,TCP,0x0011,0xc11a,501,0,Anomaly
IPv6,74,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2001:bb0:100:23::c27d:b291,59767,443,TCP,0x0010,0xc22d,251,0,Anomaly
IPv6,74,TCP,2001:bb6:48d0:da00:75ee:8ba0:9eca:f5f0,2001:bb0:100:23::c27d:b291,59767,443,TCP,0x0010,0xc214,251,0,Anomaly
